"","Selectivity","CAt_DW","logDiff","ShapeIndex_DW","sp3_At_DW","logSw","T_PSA","HBD","HBA","logD"
"cycloate","G",-0.499844432333325,0.605917559644765,0.764275210464755,-0.278656917131548,0.835144015788786,-0.452537677074888,-0.848199819203203,-0.679558186254976,0.397400378041803
"cyclosulfamuron","NS",-0.364072828768693,-0.0105800880148672,-0.809875376395639,-0.378611774094735,0.426371050442986,-0.403797044871644,0.645719908498121,0.152076224062219,-0.363382722457904
"cycloxydim","G",-0.364072828768693,0.119567206489754,0.113287127457293,-0.112065488859569,-0.0160749074640355,-0.439207133162091,-0.350226576636095,-0.494750539517821,0.19829736275951
"cyhalofop","G",-0.386701429362798,0.442089739134162,1.25248494509364,-0.478566631057923,0.0668514035386707,-0.430032649391956,-0.350226576636095,-0.402346716149244,-0.46948367139123
"cyperquat","NS",-0.47721583173922,0.95412028730538,1.38393566676349,-0.611839773675506,1.47971730790814,-0.458779365205046,-0.848199819203203,-0.86436583299213,-1.12992933129473
"cyprazine","BL",-0.545101633521536,0.791604642501535,0.227194378170244,-0.445248345403527,0.328829848530704,-0.436422496887346,0.147746665931013,-0.402346716149244,0.252788714310454
"dalapon","G",-0.680873237086169,1.71643938459362,-0.130817739857152,-0.545203202366714,1.70203551595697,-0.446083247292089,-0.350226576636095,-0.679558186254976,-0.916417545169639
"delachlor","G",-0.409330029956904,0.279604606797757,-0.696093436189522,-0.345293488440339,0.339887754985791,-0.449031238764397,-0.848199819203203,-0.587154362886399,0.377228098861886
"desmetryn","BL",-0.567730234115642,0.770166104864264,-0.130817739857152,-0.445248345403527,0.633905263917008,-0.436422496887346,0.147746665931013,-0.402346716149244,0.167645977512105
"dicamba","BL",-0.567730234115642,1.05671281895748,-1.5078548994662,-0.545203202366714,0.851367381659978,-0.442576808981599,-0.350226576636095,-0.587154362886399,-0.691640720021998
"dichlorprop","BL",-0.545101633521536,0.906244282564665,0.764275210464755,-0.511884916712319,0.747382457284224,-0.442576808981599,-0.350226576636095,-0.587154362886399,-0.496991324818389
"dichlorprop-P","BL",-0.545101633521536,0.906244282564665,0.764275210464755,-0.511884916712319,0.747382457284224,-0.442576808981599,-0.350226576636095,-0.587154362886399,-0.496991324818389
