"","Selectivity","CAt_DW","logDiff","ShapeIndex_DW","sp3_At_DW","logSw","T_PSA","HBD","HBA","logP"
"diuron","BL",-0.545101633521536,0.812855330780788,0.764275210464755,-0.57852148802111,0.404037453094497,-0.447967530501193,-0.350226576636095,-0.587154362886399,-0.106546122107808
"eglinazine","BL",-0.590358834709747,0.883232013043852,1.06263952723872,-0.511884916712319,0.720212171394086,-0.422252383238235,0.645719908498121,-0.21753906941209,-0.783550195505683
"EPTC","G",-0.545101633521536,0.726711973159373,1.06263952723872,-0.345293488440339,1.02152315240337,-0.452537677074888,-0.848199819203203,-0.679558186254976,-0.0186710666099768
"erlujixiancaoan","BL",-0.47721583173922,0.52984897314713,1.32366131297588,-0.478566631057923,-0.0617125496897311,-0.449198392920044,-0.350226576636095,-0.679558186254976,0.517366771926793
"esprocarb","G",-0.409330029956904,0.296024569496593,0.366414351263852,-0.345293488440339,0.414265656399689,-0.452537677074888,-0.848199819203203,-0.679558186254976,0.26143067278936
"ethachlor","G",-0.454587231145115,0.478789843472224,-0.657372489577528,-0.411930059749131,0.660254349262967,-0.449031238764397,-0.848199819203203,-0.587154362886399,-0.219319109996691
"ethalfluralin","G",-0.454587231145115,0.376497081176766,-1.84318581575647,-0.378611774094735,-0.487002944855752,-0.424208846650914,-0.848199819203203,-0.402346716149244,0.415212019910565
"ethiolate","G",-0.590358834709747,1.00351545441429,1.48029944651955,-0.411930059749131,1.36883742724204,-0.452537677074888,-0.848199819203203,-0.679558186254976,-0.414841108479366
"ethiozin","BL",-0.545101633521536,0.685254230205364,0.227194378170244,-0.378611774094735,0.663229259128391,-0.432217050289607,-0.350226576636095,-0.494750539517821,-0.409715063575326
"ethofumesate","G",-0.454587231145115,0.426632588857306,-0.0365842387172848,-0.278656917131548,0.790063111281887,-0.436764403114805,-0.848199819203203,-0.402346716149244,-0.376761917763639
"ethoxyfen","BL",-0.364072828768693,0.161442530206986,-0.329685514204186,-0.445248345403527,-0.262313168640729,-0.432585549223646,-0.350226576636095,-0.402346716149244,0.669317388725126
"ethoxysulfuron","NS",-0.409330029956904,0.066185326399505,-0.329685514204186,-0.345293488440339,0.676105489845981,-0.40783913627182,0.147746665931013,0.152076224062219,-0.394703074927779
