"","Selectivity","CAt_DW","logDiff","ShapeIndex_DW","sp3_At_DW","logSw","T_PSA","HBD","HBA","logP"
"benzadox","",-0.545101633521536,1.05671281895748,1.65936816078666,-0.545203202366714,1.18507188754919,-0.431521840960442,0.147746665931013,-0.402346716149244,-0.913165902364983
"benzipram","",-0.318815627580482,0.206006111757451,-0.72754637340509,-0.445248345403527,0.171326199973976,-0.452537677074888,-0.848199819203203,-0.679558186254976,0.31086039150689
"benzobicyclon","",-0.250929825798166,-0.120749925227379,-1.24194600396248,-0.378611774094735,-1.02034425801422,-0.434314075151353,-0.848199819203203,-0.494750539517821,0.345644267641448
"benzofenap","",-0.250929825798166,-0.109118158286108,-0.3778047488288,-0.445248345403527,-0.951092853314328,-0.437007536432109,-0.848199819203203,-0.494750539517821,0.630139759815677
"benzofluor","",-0.522473032927431,0.511950596519861,-0.329685514204186,-0.445248345403527,0.332582640624788,-0.442713571472582,-0.350226576636095,-0.587154362886399,0.0494321014008423
"benzoylprop","",-0.386701429362798,0.296024569496593,-1.02591069017906,-0.545203202366714,0.115197978770768,-0.438367563425777,-0.350226576636095,-0.494750539517821,0.280836414211798
"bicyclopyrone","",-0.318815627580482,0.105446529091287,-1.4733945100866,-0.212020345822756,0.462874606833179,-0.427688692254824,-0.350226576636095,-0.309942892780667,-0.0530887966799608
"bilanafos","",-0.499844432333325,0.206006111757451,0.465910893690786,-0.245338631477152,1.70638284622156,-0.399918308669032,1.64166639363234,-0.0327314226749357,-2.36603348659579
"bispyribac","",-0.318815627580482,0.0152793119048245,-1.2280365377038,-0.278656917131548,1.11787296807262,-0.405457189553859,-0.350226576636095,0.244480047430796,-0.403856726542137
"bromobutide","",-0.409330029956904,0.279604606797757,-0.329685514204186,-0.378611774094735,0.325006906525242,-0.449198392920044,-0.350226576636095,-0.679558186254976,0.323309357702416
"buthidazole","",-0.522473032927431,0.645910302093989,-0.657372489577528,-0.378611774094735,1.29440441782921,-0.433827808516745,-0.350226576636095,-0.309942892780667,-0.663088140260739
